NAME;ATOMIC_WEIGHT;ATOMIC_NUMBER;OXIDATION_STATES;BOILING_POINT/_UNITS;BOILING_POINT/__text;SYMBOL;DENSITY/_UNITS;DENSITY/__text;ELECTRON_CONFIGURATION;ELECTRONEGATIVITY;ATOMIC_RADIUS/_UNITS;ATOMIC_RADIUS/__text;ATOMIC_VOLUME/_UNITS;ATOMIC_VOLUME/__text;SPECIFIC_HEAT_CAPACITY/_UNITS;SPECIFIC_HEAT_CAPACITY/__text;IONIZATION_POTENTIAL;THERMAL_CONDUCTIVITY/_UNITS;THERMAL_CONDUCTIVITY/__text;MELTING_POINT/_UNITS;MELTING_POINT/__text;COVALENT_RADIUS/_UNITS;COVALENT_RADIUS/__text;HEAT_OF_VAPORIZATION/_UNITS;HEAT_OF_VAPORIZATION/__text;HEAT_OF_FUSION/_UNITS;HEAT_OF_FUSION/__text;_STATE
Hassium;265;108;;;;Hs;;;[Rn] 5f14 6d6 7s2;;;;;;;;;;;;;;;;;;;
Iodine;126.9045;53;+/-1, 5, 7;Kelvin;457.5;I;grams/cubic centimeter;4.93;[Kr] 4d10 5s2 p5;2.66;Angstroms;1.32;cubic centimeters/mole;25.7;Joules/gram/degree Kelvin;0.145;10.451;Watts/meter/degree Kelvin;0.449;Kelvin;386.7;Angstroms;1.33;kilojoules/mole;20.9;kilojoules/mole;7.76;
Indium;114.82;49;3;Kelvin;2350;In;grams/cubic centimeter;7.31;[Kr] 4d10 5s2 p1;1.78;Angstroms;1.66;cubic centimeters/mole;15.7;Joules/gram/degree Kelvin;0.233;5.786;Watts/meter/degree Kelvin;81.6;Kelvin;429.78;Angstroms;1.44;kilojoules/mole;226.35;kilojoules/mole;3.26;
Iridium;192.22;77;2, 3, 4, 6;Kelvin;4700;Ir;grams/cubic centimeter;22.6;[Xe] 4f14 5d7 6s2;2.2;Angstroms;1.36;cubic centimeters/mole;8.54;Joules/gram/degree Kelvin;0.13;9.1;Watts/meter/degree Kelvin;147;Kelvin;2720;Angstroms;1.27;kilojoules/mole;563.58;kilojoules/mole;26.36;
Potassium;39.0983;19;1;Kelvin;1033;K;grams/cubic centimeter;0.86;[Ar] 4s1;0.82;Angstroms;2.35;cubic centimeters/mole;45.3;Joules/gram/degree Kelvin;0.757;4.341;Watts/meter/degree Kelvin;102.5;Kelvin;336.8;Angstroms;2.03;kilojoules/mole;76.9;kilojoules/mole;2.33;
Krypton;83.8;36;;Kelvin;120.85;Kr;grams/cubic centimeter;3.75;[Ar] 3d10 4s2 p6;0;Angstroms;1.03;cubic centimeters/mole;32.2;Joules/gram/degree Kelvin;0.248;13.999;Watts/meter/degree Kelvin;0.00949;Kelvin;116;Angstroms;1.89;kilojoules/mole;9.029;kilojoules/mole;1.638;
Lanthanum;138.9055;57;3;Kelvin;3737;La;grams/cubic centimeter;6.15;[Xe] 5d1 6s2;1.1;Angstroms;1.38;cubic centimeters/mole;22.5;Joules/gram/degree Kelvin;0.19;5.58;Watts/meter/degree Kelvin;13.5;Kelvin;1191;Angstroms;1.25;kilojoules/mole;399.57;kilojoules/mole;11.3;
Lithium;6.941;3;1;Kelvin;1615;Li;grams/cubic centimeter;0.53;1s2 2s1;0.98;Angstroms;1.55;cubic centimeters/mole;13.1;Joules/gram/degree Kelvin;3.582;5.392;Watts/meter/degree Kelvin;84.7;Kelvin;453.7;Angstroms;1.23;kilojoules/mole;147.1;kilojoules/mole;3;
Lawrencium;262;103;;;;Lr;;;[Rn] 5f14 6d1 7s2;;;;;;;;;Watts/meter/degree Kelvin;10;Kelvin;1900;;;;;;;
Lutetium;174.967;71;3;Kelvin;3668;Lu;grams/cubic centimeter;9.84;[Xe] 4f14 5d1 6s2;1.27;Angstroms;1.75;cubic centimeters/mole;17.8;Joules/gram/degree Kelvin;0.15;5.43;Watts/meter/degree Kelvin;16.4;Kelvin;1936;Angstroms;1.56;kilojoules/mole;355;kilojoules/mole;18.6;
